SUBSTANCIA;CNPJ;LABORATORIO;APRESENTACAO;REGIME_DE_PRECO;PRECO_SEM_IMPOSTOS;TARJA
"ACETATO DE DEXAMETASONA;CLOTRIMAZOL";18.459.628/0001-15;BAYER S.A.;10 MG/G + 0,443 MG/G CREM DERM CT BG AL X 40 G;Regulado;19.74;Tarja Vermelha
ABATACEPTE;56.998.982/0001-07;BRISTOL-MYERS SQUIBB FARMAC_UTICA LTDA;125 MG/ML SOL INJ CT 1 SER PREENCHIDA;Regulado;1228.49;Tarja Vermelha
ABATACEPTE;56.998.982/0001-07;BRISTOL-MYERS SQUIBB FARMAC_UTICA LTDA;125 MG/ML SOL INJ CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO;Regulado;4914.04;Tarja Vermelha (*)
ABATACEPTE;56.998.982/0001-07;BRISTOL-MYERS SQUIBB FARMAC_UTICA LTDA;250 MG PO LIOF INJ 1 CT 1 FA + SER DESCART_VEL;Regulado;1547.45;Tarja Vermelha
ABCIXIMABE;51.780.468/0001-87;JANSSEN-CILAG FARMAC_UTICA LTDA;2 MG/ML SOL INJ CT FA VD INC X 5 ML;Regulado;2003.06;Tarja Vermelha (*)
ABCIXIMABE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;2 MG/ML SOL INJ CT FA VD INC X 5 ML;Regulado;2003.06;Tarja Vermelha (*)
ABEMACICLIBE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;50 MG COM REV CT BL AL AL X 30;Regulado;2077.84;Tarja Vermelha (*)
ABEMACICLIBE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;50 MG COM REV CT BL AL AL X 60;Regulado;4155.68;Tarja Vermelha (*)
ABEMACICLIBE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;100 MG COM REV CT BL AL AL X 30;Regulado;4155.68;Tarja Vermelha (*)
ABEMACICLIBE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;100 MG COM REV CT BL AL AL X 60;Regulado;8311.34;Tarja Vermelha (*)
ABEMACICLIBE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;150 MG COM REV CT BL AL AL X 30;Regulado;5967.2;Tarja Vermelha (*)
ABEMACICLIBE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;150 MG COM REV CT BL AL AL X 60;Regulado;11934.41;Tarja Vermelha (*)
ABEMACICLIBE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;200 MG COM REV CT BL AL AL X 30;Regulado;7452;Tarja Vermelha (*)
ABEMACICLIBE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;200 MG COM REV CT BL AL AL X 60;Regulado;14903.99;Venda Livre/Sem Tarja (*)
ACALABRUTINIBE;60.318.797/0001-00;ASTRAZENECA DO BRASIL LTDA;100 MG CAP DURA CT BL AL AL X 60;Regulado;38240.57;Tarja Vermelha (*)
ACARBOSE;18.459.628/0001-15;BAYER S.A.;50 MG COM CT BL AL/AL X 30;Regulado;31.17;Tarja Vermelha
ACARBOSE;18.459.628/0001-15;BAYER S.A.;100 MG COM CT BL AL/AL X 30;Regulado;46.53;Tarja Vermelha
ACARBOSE;00.923.140/0001-31;EMS SIGMA PHARMA LTDA;50 MG COM CT BL AL AL X 30;Regulado;19.63;Tarja Vermelha (*)
ACARBOSE;00.923.140/0001-31;EMS SIGMA PHARMA LTDA;100 MG COM CT BL AL AL X 30;Regulado;29.79;Tarja Vermelha (*)
ACARBOSE;00.923.140/0001-31;EMS SIGMA PHARMA LTDA;50 MG COM CT 3 BL AL PVDC LEIT X 10;Regulado;19.63;Tarja Vermelha
ACARBOSE;00.923.140/0001-31;EMS SIGMA PHARMA LTDA;100 MG COM CT 3 BL AL PVDC LEIT X 10;Regulado;29.79;Tarja Vermelha
ACEBROFILINA;57.507.378/0003-65;EMS S/A;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;Regulado;13.24;Tarja Vermelha (*)
ACEBROFILINA;57.507.378/0003-65;EMS S/A;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;Regulado;18.69;Tarja Vermelha
ACEBROFILINA;83.874.628/0001-43;LABORAT_RIO FARMAC_UTICO ELOFAR LTDA;10 MG / ML XPE CT FR PET AMB X 120 ML + COP;Regulado;22.92;Tarja Vermelha (*)
ACEBROFILINA;61.190.096/0001-92;EUROFARMA LABORAT_RIOS S.A.;5 MG/ML GEL OR CT FR PLAS INC X 120ML + COL MED;Regulado;13.25;Tarja Vermelha
ACEBROFILINA;60.665.981/0001-18;UNI_O QU_MICA FARMAC_UTICA NACIONAL S/A;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;Regulado;17.45;Tarja Vermelha
ACEBROFILINA;02.814.497/0001-07;CIMED IND_STRIA DE MEDICAMENTOS LTDA;5 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED_(EMB HOSP);Regulado;540.33;Tarja Vermelha (*)
ACEBROFILINA;02.814.497/0001-07;CIMED IND_STRIA DE MEDICAMENTOS LTDA;10 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED_(EMB HOSP);Regulado;648.38;Tarja Vermelha
